GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,TestRestTemplate,76,0,8,0,18,0,10,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,GsonUtil,32,23,1,1,3,6,3,3,2,3
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,FongoConfig,0,12,0,0,0,3,0,3,0,3
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,TestRestOperations,69,6,8,0,17,3,10,1,6,1
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,BaseCollectorTestConfig,0,16,0,0,0,4,0,3,0,3
com.capitalone.dashboard:core,com.capitalone.dashboard.testutil,TestResponse,23,0,0,0,10,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport.Testcase.Error,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport.BugCategory,24,0,0,0,2,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport.Testcase.Failure,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CheckstyleReport.CheckstyleSeverity,44,0,0,0,2,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport,14,0,0,0,6,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CheckstyleReport,14,0,0,0,6,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport.Testcase,38,0,0,0,16,0,11,0,11,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport.Properties,14,0,2,0,4,0,3,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport.BugInstance,38,0,0,0,16,0,11,0,11,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,PmdReport,14,0,0,0,6,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport,88,0,2,0,36,0,24,0,23,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport.BugPriority,44,0,0,0,2,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JacocoXmlReport.Counter,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,FindBugsXmlReport.BugFile,10,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,PmdReport.PmdFile,10,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CheckstyleReport.CheckstyleError,10,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,CheckstyleReport.CheckstyleFile,10,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JunitXmlReport.Properties.Property,17,0,0,0,7,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,ArtifactType,54,0,0,0,2,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JacocoXmlReport,14,0,0,0,6,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,JacocoXmlReport.CounterType,64,0,0,0,2,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.model.quality,PmdReport.PmdViolation,10,0,0,0,4,0,3,0,3,0
com.capitalone.dashboard:core,com.capitalone.dashboard.config.collector,CloudConfig,302,0,52,0,45,0,46,0,20,0
com.capitalone.dashboard:core,com.capitalone.dashboard.config.collector,QCloudConfig,192,0,4,0,37,0,8,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.client,RestClient,529,0,56,0,102,0,48,0,20,0
com.capitalone.dashboard:core,com.capitalone.dashboard.client,RestAuthType,24,0,0,0,3,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.client,RestUserInfo,24,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,TestDataCreateRequest,144,0,0,0,60,0,40,0,40,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudSubnetListRefreshRequest,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,DeployDataCreateRequest,122,0,0,0,52,0,35,0,35,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,GitRequestCreateRequest,17,0,0,0,7,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudInstanceListRefreshRequest,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudSubnetCreateRequest,165,0,8,0,58,0,39,0,35,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudVolumeListRefreshRequest,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,PerfTestDataCreateRequest,148,0,0,0,62,0,41,0,41,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudInstanceCreateRequest,268,0,8,0,101,0,67,0,63,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,Monitor2DataCreateRequest,24,0,0,0,7,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudVirtualNetworkListRefreshRequest,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,GenericCollectorItemCreateRequest,38,0,0,0,16,0,11,0,11,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,BinaryArtifactCreateRequest,86,0,0,0,34,0,22,0,22,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,PerformanceCreateRequest,95,0,0,0,39,0,26,0,26,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CodeQualityCreateRequest,81,0,0,0,33,0,22,0,22,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CommitCreateRequest,17,0,0,0,7,0,5,0,5,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,BuildDataCreateRequest,111,0,0,0,45,0,29,0,29,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,CloudVolumeCreateRequest,117,0,12,0,34,0,27,0,21,0
com.capitalone.dashboard:core,com.capitalone.dashboard.request,ConfigurationCreateRequest,30,0,0,0,9,0,6,0,6,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,GitBranchSpec,3,139,1,21,1,38,2,15,1,5
com.capitalone.dashboard:core,com.capitalone.dashboard.util,Encryption,51,192,0,0,13,55,1,7,1,7
com.capitalone.dashboard:core,com.capitalone.dashboard.util,CoreFeatureSettings,24,0,0,0,10,0,7,0,7,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,EncryptionException,3,4,0,0,2,2,1,1,1,1
com.capitalone.dashboard:core,com.capitalone.dashboard.util,UnsafeDeleteException,16,0,0,0,8,0,4,0,4,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,SuperFeatureComparator,23,0,4,0,7,0,4,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,GitHubParsedUrl,59,0,2,0,22,0,13,0,12,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,HygieiaUtils.new BeanUtilsBean() {...},11,0,2,0,4,0,3,0,2,0
com.capitalone.dashboard:core,com.capitalone.dashboard.util,HygieiaUtils,211,27,30,4,59,4,20,4,5,2
com.capitalone.dashboard:core,com.capitalone.dashboard.util,PipelineUtils,91,289,17,31,19,57,12,21,2,7
com.capitalone.dashboard:core,com.capitalone.dashboard.util,DashboardUtils,4,59,4,10,1,11,5,4,1,1
com.capitalone.dashboard:core,com.capitalone.dashboard.response,BuildDataCreateResponse,226,0,6,0,72,0,31,0,28,0
com.capitalone.dashboard:core,com.capitalone.dashboard.response,RallyBurnDownResponse,53,0,0,0,14,0,10,0,10,0
com.capitalone.dashboard:core,com.capitalone.dashboard.response,CloudVirtualNetworkAggregatedResponse,3,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:core,com.capitalone.dashboard.response,CloudSubNetworkAggregatedResponse,3,0,0,0,1,0,1,0,1,0
